ability	ability	1
able	able	1
about	about	1
above	above	1
accept	accept	1
according	according	1
account	account	1
across	across	1
act	act	1
action	action	1
activity	activity	1
actually	actually	1
add	add	1
address	address	1
administration	administration	1
admit	admit	1
adult	adult	1
affect	affect	1
after	after	1
again	again	1
against	against	1
age	age	1
agency	agency	1
agent	agent	1
ago	ago	1
agree	agree	1
agreement	agreement	1
ahead	ahead	1
air	air	1
all	all	1
allow	allow	1
almost	almost	1
alone	alone	1
along	along	1
already	already	1
also	also	1
although	although	1
always	always	1
American	American	1
among	among	1
amount	amount	1
analysis	analysis	1
and	and	1
animal	animal	1
another	another	1
answer	answer	1
any	any	1
anyone	anyone	1
anything	anything	1
appear	appear	1
apply	apply	1
approach	approach	1
area	area	1
argue	argue	1
arm	arm	1
around	around	1
arrive	arrive	1
art	art	1
article	article	1
artist	artist	1
as	as	1
ask	ask	1
assume	assume	1
at	at	1
attack	attack	1
attention	attention	1
attorney	attorney	1
audience	audience	1
author	author	1
authority	authority	1
available	available	1
avoid	avoid	1
away	away	1
baby	baby	1
back	back	1
bad	bad	1
bag	bag	1
ball	ball	1
bank	bank	1
bar	bar	1
base	base	1
be	be	1
beat	beat	1
beautiful	beautiful	1
because	because	1
become	become	1
bed	bed	1
before	before	1
begin	begin	1
behavior	behavior	1
behind	behind	1
believe	believe	1
benefit	benefit	1
best	best	1
better	better	1
between	between	1
beyond	beyond	1
big	big	1
bill	bill	1
billion	billion	1
bit	bit	1
black	black	1
blood	blood	1
blue	blue	1
board	board	1
body	body	1
book	book	1
born	born	1
both	both	1
box	box	1
boy	boy	1
break	break	1
bring	bring	1
brother	brother	1
budget	budget	1
build	build	1
building	building	1
business	business	1
call	call	1
camera	camera	1
campaign	campaign	1
cancer	cancer	1
candidate	candidate	1
capital	capital	1
car	car	1
card	card	1
care	care	1
career	career	1
carry	carry	1
case	case	1
catch	catch	1
cause	cause	1
cell	cell	1
center	center	1
central	central	1
century	century	1
certain	certain	1
certainly	certainly	1
chair	chair	1
challenge	challenge	1
chance	chance	1
change	change	1
character	character	1
charge	charge	1
check	check	1
child	child	1
choice	choice	1
choose	choose	1
church	church	1
citizen	citizen	1
city	city	1
civil	civil	1
claim	claim	1
class	class	1
clear	clear	1
clearly	clearly	1
close	close	1
coach	coach	1
cold	cold	1
collection	collection	1
college	college	1
color	color	1
come	come	1
commercial	commercial	1
common	common	1
community	community	1
company	company	1
compare	compare	1
computer	computer	1
concern	concern	1
condition	condition	1
conference	conference	1
Congress	Congress	1
consider	consider	1
consumer	consumer	1
contain	contain	1
continue	continue	1
control	control	1
cost	cost	1
could	could	1
country	country	1
couple	couple	1
course	course	1
court	court	1
